trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,1,-343.3712686119088,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 7}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-119.65394357755716,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-225.34882679290092,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-138.98126150796097,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-101.22385196026748,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,4,-237.4240907884796,"{0: 14, 1: 1, 2: 3, 3: 5, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,9.633599301206143,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-118.33683623674445,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-41.76544461851407,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,7,-41.22016973800581,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,8,-7.266818255282564,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,21,-36.72059551584235,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,15,-28.243101702288303,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-79.22984848576806,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-15.992104017959397,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-7.259645710792931,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,13,-22.331445592628167,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-19.50035736629518,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,5,-58.57275541154775,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0}",25,0,25.067324051504958,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,11,-23.520240111196895,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,5,-12.085121673258142,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",35,13,13.336837056256627,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,3,9.200162958951354,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-35.911393689515315,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,0.6089384154711395,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,9,9.411635013848935,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,14,-96.91139676736503,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 3}",1
9,True,"{'a': 0, 'e': 0}",20,0,-90.05164593401126,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-38.74493938188443,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
