trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999994516896208}",20,0,-134.05562951745793,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999978067590843}",20,9,-3.0614928084383832,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9999950652101947}",20,15,8.507971656476563,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9999912270459581}",30,0,-194.951024343699,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999862922705837}",25,0,-163.10524940317367,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9999802608894829}",20,0,-77.80027409431283,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.99997313290927}",25,0,-47.65850646674811,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9999649083377616}",20,0,-36.438499035745544,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999555871839771}",20,0,-106.07229759021494,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9999451694581382}",25,0,-150.79955225304596,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.999933655171669}",30,0,-188.36509649989665,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999210443371965}",20,0,-53.38759191889524,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999073369685499}",25,0,-210.13477365301162,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9998925330807612}",20,0,-51.83908597424541,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9998766326900644}",20,0,-64.76619118518467,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
