trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.07726683280018,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.109472739100745,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.22599227763223,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-364.6436088536476,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 7}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.91021472160207,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.86146992443516,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.38791416910713,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.65655674036994,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,17,-36.43780896797639,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.25166086959533,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.2133815994925,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.51328860289289,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.7207235159862,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.35454973797408,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.924614685936554,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.83164545831089,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.452803817574079,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-274.02805477826274,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.94161552559335,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.57070192769385,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.43430708355118,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.42538783043479,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,11,-54.70321614323433,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-123.03013678800477,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,18,-1.9871860835352486,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.7618486801099,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-216.43167467699155,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-198.5715530312933,"{0: 10, 1: 3, 2: 1, 3: 3, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.34088221980852,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-140.94704544589771,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
